,filename,label
0,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00002314.JPEG,golf ball
1,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00003793.JPEG,golf ball
2,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00006468.JPEG,golf ball
3,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00007755.JPEG,golf ball
4,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00007947.JPEG,golf ball
5,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00008599.JPEG,golf ball
6,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00011983.JPEG,golf ball
7,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00012356.JPEG,golf ball
8,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00012634.JPEG,golf ball
9,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00013633.JPEG,golf ball
10,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00016748.JPEG,golf ball
11,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00017247.JPEG,golf ball
12,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00019268.JPEG,golf ball
13,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00023215.JPEG,golf ball
14,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00023845.JPEG,golf ball
15,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00024405.JPEG,golf ball
16,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00026194.JPEG,golf ball
17,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00030938.JPEG,golf ball
18,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00031486.JPEG,golf ball
19,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00031744.JPEG,golf ball
20,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00031897.JPEG,golf ball
21,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00031954.JPEG,golf ball
22,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00035419.JPEG,golf ball
23,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00035519.JPEG,golf ball
24,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00035918.JPEG,golf ball
25,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00036187.JPEG,golf ball
26,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00036755.JPEG,golf ball
27,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00037369.JPEG,golf ball
28,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00038005.JPEG,golf ball
29,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00038447.JPEG,golf ball
30,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00038768.JPEG,golf ball
31,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00040694.JPEG,golf ball
32,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00043745.JPEG,golf ball
33,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00044695.JPEG,golf ball
34,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00044936.JPEG,golf ball
35,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00046468.JPEG,golf ball
36,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\ILSVRC2012_val_00048517.JPEG,golf ball
37,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\n03445777_10008.JPEG,golf ball
38,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\n03445777_10027.JPEG,golf ball
39,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\n03445777_10033.JPEG,golf ball
40,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\n03445777_10039.JPEG,golf ball
41,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\n03445777_10084.JPEG,golf ball
42,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\n03445777_10106.JPEG,golf ball
43,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\n03445777_10117.JPEG,golf ball
44,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\n03445777_10127.JPEG,golf ball
45,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\n03445777_10129.JPEG,golf ball
46,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\n03445777_10167.JPEG,golf ball
47,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\n03445777_10216.JPEG,golf ball
48,C:\Work\97_DVC_Tutorial\dvc-version-control\data\raw\train\n03445777\n03445777_10235.JPEG,golf ball
